Step,iTypeC,fCtr_A,fCtr_B,fCtr_C,fCtr_D,fCtr_E,fCtr_H_On,fCtr_S_On,fCtr_L_On,fCtr_H_Off,fCtr_S_Off,fCtr_L_Off,iTypeS,fStrb_A,fStrb_B,fStrb_C,fStrb_D,fStrb_E,lPattern,fStrb_H_On,fStrb_S_On,fStrb_L_On,fStrb_H_Off,fStrb_S_Off,fStrb_L_Off,lSeqTime,Total time,Tot Sec,Hours,Minutes,Seconds,On,Off,On,Off,f_diff
11,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.00,8.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
12,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,7.80,7.80,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
13,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.00,8.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
14,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.20,8.20,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
15,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.40,8.40,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
16,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.60,8.60,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
17,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.80,8.80,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
18,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,9.00,9.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
19,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
20,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.20,11.20,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
21,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.40,11.40,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
22,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.60,11.60,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
23,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.80,11.80,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
24,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.40,8.40,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
25,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.60,8.60,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,5.88235294117647,1.94117647058824,3.94117647058823,3941.17647058823,,,,
26,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.80,8.80,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
27,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,9.00,9.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
28,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,9.20,9.20,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
29,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,9.40,9.40,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
30,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
31,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
32,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
33,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
34,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
35,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
36,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
37,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
38,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
39,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
40,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
41,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
42,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
43,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
44,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
45,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
46,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
47,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
48,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
49,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
50,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
51,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
52,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
53,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
54,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
55,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
56,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
57,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
58,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
59,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
60,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
61,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
62,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
63,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
64,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
65,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
66,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
67,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
68,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
69,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
70,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
71,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
72,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
73,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
74,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
75,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
76,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
77,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
78,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
79,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
80,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
81,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
82,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
83,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
84,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
85,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
86,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
87,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
88,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
89,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
90,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
91,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
92,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
93,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
94,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
95,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
96,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
97,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
98,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
99,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
100,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
101,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
102,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.90,8.90,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
103,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
104,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
105,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
106,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
107,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
108,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
109,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
110,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.70,8.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
111,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
112,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,18.70,18.70,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
113,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
114,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,11.00,11.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
